"Population 1. January by marital status, sex, age and time",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , ,81 years,19820,19673,20300,21133,21737,21672,22362,22765,23244,23564,24656,25569,25338,25377,25787,25693,25306,24080,24317,24043,24750,23854,27634,26790,25031,25727,26012,25673,25507,24880,25646,24974
 , ,82 years,17405,18067,17917,18544,19296,19890,19864,20467,20924,21288,21649,22618,23429,23313,23152,23691,23548,23214,22116,22386,22110,22827,22006,25444,24768,23165,23894,24212,23820,23744,23176,23830
 , ,83 years,15720,15670,16328,16185,16740,17441,17973,18130,18523,18979,19423,19666,20584,21240,21108,20972,21485,21409,21180,20219,20393,20232,20902,20140,23250,22782,21335,22014,22287,22058,21917,21446
 , ,84 years,13477,14038,13935,14595,14522,15029,15722,16146,16327,16700,17071,17415,17714,18537,19063,19002,18865,19423,19349,19252,18304,18548,18286,18914,18275,21203,20817,19540,20064,20391,20198,20161
 , ,85 years,11473,11880,12400,12370,12854,12921,13271,13957,14375,14527,14885,15191,15548,15768,16449,16918,16921,16833,17311,17405,17238,16455,16706,16401,16982,16503,19122,18826,17654,18263,18496,18298
 , ,86 years,9665,9967,10325,10849,10805,11240,11283,11669,12348,12727,12814,13062,13403,13705,13825,14520,14835,14911,14895,15373,15440,15359,14582,14855,14619,15189,14757,17065,16871,15861,16402,16651
 , ,87 years,7629,8342,8584,8921,9383,9327,9663,9801,10108,10715,11124,11178,11382,11560,11847,11979,12511,12975,13057,13074,13511,13476,13474,12737,13062,12889,13386,13089,15026,14981,13954,14520
 , ,88 years,6448,6491,7082,7336,7551,7945,7892,8240,8347,8665,9265,9458,9597,9782,9773,10101,10142,10782,11114,11353,11296,11694,11683,11581,10989,11376,11299,11723,11375,13192,13110,12168
 , ,89 years,5092,5349,5414,5936,6123,6354,6658,6609,6940,7004,7244,7690,7979,8023,8196,8237,8484,8554,9079,9447,9574,9657,9953,9875,9857,9412,9759,9671,10038,9804,11382,11313
 , ,90 years,3884,4098,4350,4464,4870,5029,5199,5542,5487,5707,5795,5965,6422,6463,6528,6821,6745,7000,7149,7649,7839,8041,8046,8288,8171,8359,7935,8231,8117,8453,8279,9684
 , ,91 years,2999,3075,3255,3535,3586,3933,4036,4211,4501,4480,4623,4742,4879,5177,5239,5268,5530,5437,5740,5888,6293,6481,6592,6565,6777,6699,6930,6561,6863,6703,6967,6891
 , ,92 years,2318,2311,2378,2571,2741,2815,3032,3223,3338,3555,3502,3647,3748,3865,4072,4205,4111,4413,4271,4560,4643,5066,5125,5304,5223,5466,5437,5643,5322,5605,5482,5700
 , ,93 years,1542,1735,1731,1860,1958,2090,2169,2360,2477,2603,2729,2702,2819,2883,2975,3143,3236,3214,3467,3339,3583,3642,4015,3975,4188,4120,4298,4277,4478,4188,4465,4388
 , ,94 years,1174,1137,1272,1330,1420,1479,1587,1660,1801,1889,1959,2081,2027,2137,2128,2250,2360,2444,2466,2680,2555,2741,2745,3071,3077,3259,3174,3367,3337,3464,3216,3503
 , ,95 years,778,819,826,953,973,1042,1052,1168,1249,1335,1371,1445,1534,1503,1526,1553,1603,1739,1789,1854,1982,1941,2030,2028,2300,2312,2492,2407,2563,2486,2640,2487
