"Population 1. January by marital status, sex, age and time"

" "," "," ","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total"
" ","Total"
" "," ","56 years",35723,36002,35747,35968,35776,37488,37343,38510,40823,41925,42871,44463
" "," ","57 years",34542,35446,35739,35530,35783,35523,37267,37135,38273,40650,41794,42742
" "," ","58 years",35085,34255,35196,35477,35285,35569,35279,36986,36902,38044,40425,41688
" "," ","59 years",34229,34821,33947,34927,35250,35041,35292,35028,36703,36708,37837,40238
" "," ","60 years",33644,33880,34463,33666,34648,34955,34759,35017,34730,36435,36442,37713
" "," ","61 years",34068,33298,33521,34098,33301,34328,34641,34499,34694,34459,36125,36283
" "," ","62 years",33644,33688,32956,33199,33757,32993,33997,34320,34149,34395,34161,35923
" "," ","63 years",35214,33238,33307,32584,32844,33418,32641,33589,33927,33769,34067,33942
" "," ","64 years",37175,34812,32810,32869,32216,32439,33043,32247,33161,33573,33432,33804
" "," ","65 years",38193,36693,34386,32402,32451,31760,32027,32642,31825,32767,33140,33087
" "," ","66 years",36403,37621,36172,33917,31925,31961,31310,31561,32169,31371,32318,32752
" "," ","67 years",33802,35774,36987,35633,33428,31388,31509,30842,31049,31672,30952,31895
" "," ","68 years",30394,33179,35173,36364,35062,32876,30873,30960,30315,30565,31146,30492
" "," ","69 years",28298,29795,32531,34492,35707,34429,32304,30266,30376,29745,30006,30666
" "," ","70 years",24537,27667,29138,31864,33824,35060,33731,31655,29697,29745,29181,29436
" "," ","71 years",23319,23947,27030,28481,31159,33076,34378,33006,30993,29079,29137,28549
" "," ","72 years",21675,22713,23390,26417,27816,30385,32307,33641,32285,30296,28397,28492
" "," ","73 years",20742,21019,22054,22743,25698,27124,29580,31494,32812,31552,29509,27722
" "," ","74 years",19065,20088,20373,21426,22101,24974,26334,28731,30676,31927,30636,28678
" "," ","75 years",17879,18412,19443,19723,20700,21395,24196,25475,27805,29762,30960,29707
" "," ","76 years",16249,17154,17766,18758,19074,19991,20673,23351,24623,26838,28705,29916
" "," ","77 years",14999,15525,16446,17074,18009,18357,19249,19879,22530,23684,25824,27639
" "," ","78 years",13613,14230,14746,15684,16347,17269,17595,18425,19073,21633,22659,24720
" "," ","79 years",12398,12849,13469,14033,14871,15588,16456,16772,17582,18238,20686,21605
" "," ","80 years",11507,11614,12066,12723,13268,14049,14778,15577,15901,16709,17319,19561
" "," ","81 years",10574,10685,10827,11310,11914,12450,13194,13875,14712,15015,15729,16317
" "," ","82 years",9628,9746,9888,10054,10485,11087,11594,12302,12955,13784,14047,14675
" "," ","83 years",8865,8813,8865,9095,9277,9674,10195,10671,11435,11991,12808,12992
" "," ","84 years",7579,8058,7995,8050,8266,8476,8885,9281,9753,10513,11054,11724
" "," ","85 years",6944,6796,7144,7255,7241,7470,7634,7994,8428,8825,9483,9999
" "," ","86 years",5875,6134,6003,6364,6447,6483,6670,6811,7180,7537,7833,8461
" "," ","87 years",5098,5144,5404,5264,5594,5645,5658,5782,6027,6289,6601,6874
" "," ","88 years",4083,4339,4432,4640,4500,4793,4841,4837,4999,5221,5451,5720
